name,description,state
BHM,Birmingham International Airport,AL
DHM,Dothan Regional Airport,AL
HSV,Huntsville International Airport,AL
MOB,Mobile,AL
MGM,Montgomery,AL
ANC,Anchorage International Airport,AK
FAI,Fairbanks International Airport,AK
JNU,Juneau International Airport,AK
FLG,Flagstaff,AZ
PHX,"Phoenix, Phoenix Sky Harbor International Airport",AZ
TUS,Tucson International Airport,AZ
YUM,Yuma International Airport,AZ
FYV,Fayetteville,AR
LIT,Little Rock National Airport,AR
BUR,Burbank,CA
FAT,Fresno,CA
LGB,Long Beach,CA
LAX,Los Angeles International Airport,CA
OAK,Oakland,CA
ONT,Ontario,CA
PSP,Palm Springs,CA
SMF,Sacramento,CA
SAN,San Diego,CA
SFO,San Francisco International Airport,CA
SJC,San Jose,CA
SNA,Santa Ana,CA
ASE,Aspen,CO
COS,Colorado Springs,CO
DEN,Denver International Airport,CO
GJT,Grand Junction,CO
PUB,Pueblo,CO
BDL,Hartford,CT
IAD,"Washington, Dulles International Airport",DC
DCA,Washington National Airport,DC
DAB,Daytona Beach,FL
FLL,Fort Lauderdale-Hollywood International Airport,FL
RSW,Fort Meyers,FL
JAX,Jacksonville,FL
EYW,Key West International Airport,FL
MIA,Miami International Airport,FL
MCO,Orlando,FL
PNS,Pensacola,FL
PIE,St. Petersburg,FL
SRQ,Sarasota,FL
TPA,Tampa,FL
PBI,West Palm Beach,FL
PFN,Panama City-Bay County International Airport,FL
ATL,Atlanta Hartsfield International Airport,GA
AGS,Augusta,GA
SAV,Savannah,GA
ITO,Hilo,HI
HNL,Honolulu International Airport,HI
OGG,Kahului,HI
KOA,Kailua,HI
LIH,Lihue,HI
BOI,Boise,ID
MDW,Chicago Midway Airport,IL
ORD,"Chicago, O'Hare International Airport Airport",IL
MLI,Moline,IL
PIA,Peoria,IL
EVV,Evansville,IN
FWA,Fort Wayne,IN
IND,Indianapolis International Airport,IN
SBN,South Bend,IN
CID,Cedar Rapids,IA
DSM,Des Moines,IA
ICT,Wichita,KS
LEX,Lexington,KY
SDF,Louisville,KY
BTR,Baton Rouge,LA
MSY,New Orleans International Airport,LA
SHV,Shreveport,LA
AUG,Augusta,ME
BGR,Bangor,ME
PWM,Portland,ME
BWI,Baltimore,MD
BOS,"Boston, Logan International Airport",MA
HYA,Hyannis,MA
ACK,Nantucket,MA
ORH,Worcester,MA
BTL,Battlecreek,MI
DTW,Detroit Metropolitan Airport,MI
DET,Detroit,MI
FNT,Flint,MI
GRR,Grand Rapids,MI
AZO,Kalamazoo-Battle Creek International Airport,MI
LAN,Lansing,MI
MBS,Saginaw,MI
DLH,Duluth,MN
MSP,Minneapolis/St.Paul International Airport,MN
RST,Rochester,MN
GPT,Gulfport,MS
JAN,Jackson,MS
MCI,Kansas City,MO
STL,"St Louis, Lambert International Airport",MO
SGF,Springfield,MO
BIL,Billings,MT
LNK,Lincoln,NE
OMA,Omaha,NE
LAS,"Las Vegas, Las Vegas McCarran International Airport",NV
RNO,Reno-Tahoe International Airport,NV
MHT,Manchester,NH
ACY,Atlantic City International Airport,NJ
EWR,Newark International Airport,NJ
TTN,Trenton,NJ
ABQ,Albuquerque International Airport,NM
ALM,Alamogordo,NM
ALB,Albany International Airport,NY
BUF,Buffalo,NY
ISP,Islip,NY
JFK,"New York, John F Kennedy International Airport",NY
LGA,"New York, La Guardia Airport",NY
SWF,Newburgh,NY
ROC,Rochester,NY
SYR,Syracuse,NY
HPN,Westchester,NY
AVL,Asheville,NC
CLT,Charlotte/Douglas International Airport,NC
FAY,Fayetteville,NC
GSO,Greensboro,NC
RDU,Raleigh,NC
INT,Winston-Salem,NC
BIS,Bismark,ND
FAR,Fargo,ND
CAK,Akron,OH
CVG,Cincinnati,OH
CLE,Cleveland,OH
CMH,Columbus,OH
DAY,Dayton,OH
TOL,Toledo,OH
OKC,Oklahoma City,OK
TUL,Tulsa,OK
EUG,Eugene,OR
PDX,Portland International Airport,OR
HIO,"Portland, Hillsboro Airport",OR
SLE,Salem,OR
ABE,Allentown,PA
ERI,Erie,PA
MDT,Harrisburg,PA
PHL,Philadelphia,PA
PIT,Pittsburgh,PA
AVP,Scranton,PA
PVD,Providence - T.F. Green Airport,RI
CHS,Charleston,SC
CAE,Columbia,SC
GSP,Greenville,SC
MYR,Myrtle Beach,SC
PIR,Pierre,SD
RAP,Rapid City,SD
FSD,Sioux Falls,SD
TRI,Bristol,TN
CHA,Chattanooga,TN
TYS,Knoxville,TN
MEM,Memphis,TN
BNA,Nashville,TN
AMA,Amarillo,TX
AUS,Austin Bergstrom International Airport,TX
CRP,Corpus Christi,TX
DAL,Dallas Love Field Airport,TX
DFW,Dallas/Fort Worth International Airport,TX
ELP,El Paso,TX
HOU,"Houston, William B Hobby Airport",TX
IAH,"Houston, George Bush Intercontinental Airport",TX
LBB,Lubbock,TX
MAF,Midland,TX
SAT,San Antonio International Airport,TX
SLC,Salt Lake City,UT
BTV,Burlington,VT
MPV,Montpelier,VT
RUT,Rutland,VT
IAD,Dulles,VA
PHF,Newport News,VA
ORF,Norfolk,VA
RIC,Richmond,VA
ROA,Roanoke,VA
PSC,"Pasco, Pasco/Tri-Cities Airport",WA
SEA,"Seattle, Tacoma International Airport",WA
GEG,Spokane International Airport,WA
CRW,Charleston,WV
CKB,Clarksburg,WV
GRB,Green Bay,WI
MSN,Madison,WI
MKE,Milwaukee,WI
CPR,Casper,WY
CYS,Cheyenne,WY
JAC,Jackson Hole,WY
RKS,Rock Springs,WY
